Сочи;14,2;6;6,6;23,6;22,4;-23,9;39,4;1684;0,91
Анапа;12,2;2,4;3,2;23,2;22,2;-23,9;38,2;564;0,98
Махачкала;12,4;1,2;1,7;24,7;23,5;-26,9;38,7;340;0,98
Краснодар;11,9;0,3;1,1;24;22,9;-33,7;40;718;1,00
Яшкуль;10,8;-3,3;-2,6;26;24,5;-36,1;44,2;270;0,96
Астрахань;10,5;-3,7;-3,1;25,6;24,2;-37,7;41;233;0,95
Ростов-на-Дону;9,9;-3,1;-2,6;23,3;22,3;-31,9;40,1;643;0,92
Минеральные Воды;9,7;-2,5;-2,1;22,7;21,4;-28,3;40,9;556;0,92
Ставрополь;9,3;-2,9;-1,9;22;20,9;-27,8;39,7;556;0,91
Владикавказ;9,2;-1,9;-1,4;20,6;19,6;-27,8;39,2;929;0,90
Волгоград;8,1;-6,7;-5,9;23,5;22,2;-32,6;41,1;347;0,86
Калининград;7,9;-1,5;-1;18,1;17,1;-33,3;36,5;818;0,86
Камышин;7,6;-7,8;-7;23,7;22,4;-35;41,5;389;0,85
Александров Гай;7,4;-8,7;-8,2;24,2;22,8;-39,9;43,8;329;0,83
Саратов;6,9;-8,1;-7,4;22,4;21,1;-37,3;40,9;476;0,82
Воронеж;6,9;-6,5;-5,9;20,5;19,4;-36,5;40,5;587;0,81
Курск;6,5;-6,2;-5,8;19,6;18,6;-35,3;38,8;648;0,80
Елец;6,2;-7,4;-6,6;20;18,8;-37,8;41,1;589;0,79
Орёл;6,2;-6,7;-6,1;19,4;18,3;-37,8;39,5;601;0,79
Санкт-Петербург;5,8;-5,8;-5;18,8;17,2;-35,9;37,1;662;0,79
Брянск;6,1;-6,1;-5,7;19;17,8;-35;38,4;671;0,79
Тамбов;6,1;-7,8;-7,2;20,4;19,2;-38;41,1;518;0,79
Псков;5,9;-5,7;-4,9;18,3;16,9;-40,6;35,6;702;0,79
Москва;5,8;-6,7;-6,1;19,2;17,7;-42,1;38,2;707;0,78
Кингисепп;5,4;-6;-5,2;18,1;16,5;-40;35,3;743;0,77
Великие Луки;5,7;-6;-5,4;18;16,7;-45,7;36,2;639;0,77
Тула;5,5;-7,7;-6,9;19;17,7;-36,1;39,2;614;0,76
Смоленск;5,4;-6,4;-5,9;17,9;16,7;-37,9;37,2;739;0,76
Самара;5,6;-10,1;-9,4;21,4;20,1;-43;40,4;557;0,76
Южно-Курильск;5,1;-5,3;-3,9;15,9;14,4;-20,3;30,5;1251;0,76
Выборг;4,8;-7,2;-6,2;18,3;16,6;-36,8;34,6;677;0,76
Оренбург;5,3;-11,8;-10,9;22,3;21,1;-43,2;41,6;364;0,75
Тверь;5,1;-7,6;-7;18,8;17,2;-44;38,8;653;0,75
Холмск;5,1;-7,6;-6,8;18,7;16,9;-27;32,3;823;0,75
Пенза;5,2;-9,3;-8,6;19,9;18,6;-45;41;521;0,75
Елатьма;5;-8,7;-8,1;19,3;17,8;-42,9;39,3;629;0,74
Нижний Новгород;4,8;-8,9;-8,3;19,4;17,9;-41,4;38,3;648;0,74
Ульяновск;5;-10,3;-9,5;20,2;18,8;-40;39,3;470;0,74
Владимир;4,7;-8,7;-8;18;17,2;-43;37,1;584;0,74
Рыбинск;4,4;-8,8;-8,1;18,8;17,1;-42;37,2;660;0,73
Казань;4,6;-10,4;-9,7;20,2;18,7;-46,8;39;558;0,73
Кострома;4,2;-9,4;-8,6;18,7;17;-46,4;37,3;625;0,72
Владивосток;4,9;-12,3;-9,9;19,8;17,8;-31,4;33,6;818;0,71
Уфа;3,8;-12,6;-11,6;19,6;18,3;-48,5;38,6;589;0,69
Череповец;3,3;-10,2;-9,2;17,6;15,8;-45,4;36,2;647;0,69
Петрозаводск;3,1;-9,3;-8,5;17;15,1;-41,6;33,9;611;0,69
Чебоксары;3,5;-12,9;-10,9;18,8;17,3;-44,3;39,9;499;0,69
